swing_id,session,user,level,side,pelvis_peak_vel,pelvis_peak_time_rel_hs,wrist_peak_vel,wrist_peak_time_rel_hs
282_2,282,80,college,R,788.3667827746676,0.11109999999999998,1587.784436968221,0.18890000000000007
282_3,282,80,college,R,777.9692422167473,0.11109999999999998,1620.729781161786,0.18059999999999987
282_4,282,80,college,R,815.5535650236409,0.10559999999999992,1700.4388603881882,0.17779999999999996
282_5,282,80,college,R,848.1532081050923,0.10000000000000009,1701.6938380701565,0.17779999999999996
282_6,282,80,college,R,845.0312936563947,0.10830000000000006,1493.7166277392307,0.18890000000000007
282_7,282,80,college,R,769.1464716562444,0.09999999999999987,1669.983979294963,0.1834
282_8,282,80,college,R,851.6821882546857,0.10270000000000001,1636.3711343328719,0.18330000000000002
283_1,283,31,college,R,736.3304228292758,0.0806,1238.514936856399,0.1472
283_2,283,31,college,R,754.3668051149785,0.07779999999999987,1386.963594685632,0.13890000000000002
283_3,283,31,college,R,766.1815334338136,0.06390000000000007,1438.6870309699082,0.1361000000000001
283_4,283,31,college,R,746.7944104748709,0.07220000000000004,1342.0293662746915,0.13890000000000002
283_5,283,31,college,R,778.3183256757096,0.08329999999999993,1328.647369593983,0.1472
283_6,283,31,college,R,772.4009566263561,0.06390000000000007,1372.1899086467733,0.12769999999999992
283_7,283,31,college,R,776.2366798232933,0.07230000000000003,1300.0627477760218,0.1362000000000001
287_1,287,186,college,R,885.7106021138677,0.050000000000000044,1160.3991854053718,0.10829999999999984
287_2,287,186,college,R,917.2414306083976,0.044499999999999984,1098.296570024918,0.11390000000000011
287_3,287,186,college,R,927.5242691453684,0.04169999999999996,1488.290298546426,0.10829999999999995
287_5,287,186,college,R,888.4231918140475,0.04999999999999982,1279.2354671132637,0.11939999999999973
287_6,287,186,college,R,899.2481421931379,0.038799999999999946,1278.0539684440678,0.10829999999999984
287_7,287,186,college,R,909.833230131006,0.050000000000000044,1233.9597171532344,0.11670000000000003
287_8,287,186,college,R,836.7269336000903,0.05830000000000002,1148.3879567062388,0.10830000000000006
291_1,291,189,college,R,763.4041588168222,0.09450000000000003,1903.7986987042223,0.16389999999999993
291_2,291,189,college,R,728.3151950505289,0.1028,2046.8569752109036,0.18330000000000002
291_3,291,189,college,R,803.7471177144275,0.10000000000000009,1816.0083783946318,0.17500000000000004
291_4,291,189,college,R,803.1699012200221,0.09729999999999994,1650.530963056516,0.19169999999999998
291_5,291,189,college,R,788.5381927143542,0.09169999999999989,2240.1204315105874,0.08329999999999993
291_6,291,189,college,R,780.7777729082904,0.10270000000000001,1995.1913994313152,0.18889999999999985
291_7,291,189,college,R,794.006641875734,0.08889999999999998,1506.8173657114853,0.17779999999999996
291_8,291,189,college,R,803.9660342553907,0.0693999999999999,1900.5119641490421,0.1721999999999999
297_1,297,26,college,R,722.2513848111404,0.11939999999999995,1199.5738249155447,0.1916
297_2,297,26,college,R,795.8087781793187,0.11109999999999998,1212.45133037955,0.18330000000000002
297_3,297,26,college,R,791.7108482259986,0.1362000000000001,1379.9385162854358,0.18619999999999992
297_4,297,26,college,R,710.2782011772077,0.11949999999999994,1315.1015590248762,0.21389999999999976
297_5,297,26,college,R,785.378163001124,0.10830000000000006,1362.0050082358912,0.1806000000000001
297_6,297,26,college,R,735.4252360467514,0.12220000000000009,1337.3219113335053,0.18610000000000015
297_7,297,26,college,R,748.4289205057886,0.19999999999999996,1225.6546633999358,0.26939999999999986
297_8,297,26,college,R,929.3545401354263,0.08340000000000014,1405.638982923727,0.1834
300_1,300,79,high_school,R,758.8166503997326,0.11949999999999994,1227.368721800067,0.15839999999999987
300_2,300,79,high_school,R,728.113310385959,0.125,1368.7042667495928,0.1694
300_3,300,79,high_school,R,760.5576398155107,0.11390000000000011,1228.0922846052244,0.16660000000000008
300_4,300,79,high_school,R,764.9682179967152,0.11390000000000011,1244.878579053383,0.1612
300_5,300,79,high_school,R,674.2775896718947,0.13329999999999997,1257.8800480917566,0.17769999999999997
300_6,300,79,high_school,R,744.3376075852342,0.11389999999999989,1414.4719985432055,0.16660000000000008
300_7,300,79,high_school,R,756.7898117815342,0.11660000000000004,1224.5431126164037,0.16389999999999993
300_8,300,79,high_school,R,742.9293025995273,0.14170000000000016,1320.1954491468641,0.16390000000000016
302_1,302,30,college,R,720.1770848017451,0.10270000000000001,1048.7504521402411,0.16110000000000002
302_2,302,30,college,R,628.3542299150456,0.1028,962.3415613120791,0.16670000000000007
302_3,302,30,college,R,744.7472571512366,0.12230000000000008,1186.2919313949917,0.16670000000000007
302_4,302,30,college,R,702.7921179538371,0.13890000000000002,1139.4675712409282,0.16389999999999993
302_5,302,30,college,R,746.3371096243507,0.09169999999999989,1058.2762849220187,0.15839999999999987
